Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
410	-406.442	-412.678	6.23623	1.228407	11.04808	0.0477942	0.161852	0.100729	0.167264	0.118081	0.00266399	0.0305919	0.0963348	0.0314406	0.184385	0.0577977	0.0524983	0.0988063	0.00346974	0.0294315	0.053453	0.0698879	0.292541	0.158887	0.0139038	0.014385	0.0670974	0.11255	0.0570256	0.13747	0.101666	0.0120789	0.00777741	0.325293	0.0602743	0.0491146	0.128126	0.0181805	0.180163	0.536077	1.02951	2.25425	2.862853
420	-399.146	-404.538	5.39184	0.7866866	9.097786	0.0240484	0.0971171	0.0783738	0.0678912	0.0696964	0.00220081	0.0251272	0.0488665	0.0170242	0.199652	0.0767336	0.0495585	0.0536776	0.00303169	0.0125334	0.0735765	0.0642739	0.514552	0.145893	0.0131701	0.0140154	0.129898	0.0586367	0.114808	0.144424	0.117639	0.0155713	0.0129546	0.439407	0.0476147	0.0317973	0.186109	0.00642206	0.0927228	0.401718	0.953197	2.55236	2.956296
430	-398.151	-405.708	7.5565	1.845718	12.92974	0.0152829	0.0615098	0.109008	0.0871445	0.0491841	0.00436959	0.00611835	0.0232378	0.00488254	0.286366	0.0438228	0.01576	0.0512745	0.00237435	0.0088146	0.043302	0.0738837	0.380899	0.191069	0.0287272	0.0469092	0.0944484	0.0962149	0.0809084	0.133876	0.115062	0.00959413	0.00351487	0.355894	0.0743269	0.00773422	0.160526	0.00262409	0.274135	0.637536	1.0656	2.02273	2.668664
440	-397.532	-408.667	11.1349	0.7326967	14.04565	0.0266554	0.0559231	0.0645938	0.0763997	0.0487401	0.00437685	0.00491388	0.089194	0.00844158	0.106022	0.0195102	0.0224723	0.0411839	0.00180392	0.00499913	0.05908	0.133168	0.29467	0.156932	0.0276423	0.0772088	0.0431542	0.0691291	0.102431	0.119443	0.0938048	0.00828228	0.00153745	0.383362	0.0509974	0.0340547	0.225805	0.0037888	0.0811815	0.378557	0.936407	2.60385	2.459721
450	-404.767	-413.375	8.60781	0.6038398	12.73141	0.0115778	0.064249	0.166524	0.136678	0.122525	0.00696878	0.0101509	0.0299134	0.01154	0.158427	0.0511911	0.0310823	0.0224879	0.0119408	0.0212526	0.062013	0.0396579	0.28438	0.191962	0.0138063	0.0461321	0.0583622	0.0568741	0.0569938	0.072096	0.0978828	0.00456587	0.00138206	0.370274	0.066756	0.0894013	0.316848	0.00235626	0.053901	0.3144	0.883265	2.74843	2.688253
460	-404.853	-411.792	6.93902	0.877076	7.783294	0.0137376	0.096516	0.138148	0.10375	0.0418375	0.042964	0.00793613	0.0178458	0.00613514	0.214534	0.0737965	0.0112494	0.0656085	0.0166653	0.0144762	0.0634648	0.087396	0.423124	0.140931	0.00617378	0.0668793	0.0123338	0.218514	0.0309999	0.176328	0.0356774	0.0205478	0.00326029	0.25185	0.0223724	0.0589851	0.128973	0.0043112	0.111823	0.436409	0.97622	2.47555	2.617321
470	-399.644	-414.381	14.7377	0.5687933	14.9433	0.0190424	0.0191062	0.125293	0.0645867	0.041641	0.027539	0.0387563	0.0177531	0.00999849	0.101531	0.146759	0.0219263	0.035994	0.0426738	0.0153108	0.0544081	0.0953521	0.164283	0.203301	0.0115055	0.0720447	0.0182219	0.0369187	0.0569464	0.168371	0.0821594	0.0165148	0.00853645	0.25647	0.033905	0.0173203	0.174784	0.00767951	0.0467423	0.294474	0.864523	2.79426	2.206632
480	-399.03	-410.088	11.0578	0.8873741	14.67509	0.0270573	0.126871	0.110929	0.0484797	0.0829537	0.0120818	0.0286335	0.0528428	0.0114482	0.124081	0.0416716	0.0318291	0.0493788	0.034126	0.042987	0.0324988	0.161571	0.281528	0.116041	0.0187362	0.0359661	0.0204631	0.0156012	0.0393826	0.137583	0.108163	0.0254046	0.0129905	0.40044	0.0302238	0.0157367	0.154435	0.00680375	0.113971	0.44007	0.978507	2.46745	2.438938
490	-406.255	-415.75	9.49479	1.324215	11.35168	0.0196463	0.211312	0.0729618	0.123598	0.131122	0.0349566	0.0292324	0.0159449	0.0114561	0.130455	0.0915284	0.0230051	0.0690262	0.0197638	0.0920664	0.0749787	0.0546246	0.29446	0.102545	0.0109651	0.0360394	0.0136364	0.00119123	0.0855871	0.139898	0.0842792	0.0244298	0.00345688	0.381704	0.011929	0.00992845	0.151021	0.00749887	0.196846	0.556418	1.03818	2.20855	2.564249
500	-397	-408.627	11.6273	0.9342669	16.70771	0.022679	0.168691	0.0564573	0.0470123	0.104028	0.0400678	0.0181228	0.00964829	0.0151669	0.203372	0.11479	0.0264014	0.0492855	0.0423042	0.0519861	0.131782	0.0654188	0.24815	0.0614864	0.00985687	0.0215022	0.0209566	0.00148045	0.0725768	0.0690731	0.184738	0.00804082	0.00375116	0.294428	0.010885	0.00914187	0.145925	0.00800247	0.123659	0.456062	0.988193	2.43209	2.337208
